timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
759808,113.2902123,0,113.2902124,0,0,113.2902124
761856,112.9612281,0,112.9612283,0,0,112.9612283
763904,115.9085147,0,115.9085145,0,0,115.9085145
765952,112.1716725,0,112.1716725,0,0,112.1716725
768000,115.640876,0,115.6408761,0,0,115.6408761
770048,119.6318802,0,119.6318802,0,0,119.6318802
772096,115.0478806,0,115.0478807,0,0,115.0478807
774144,115.3567737,0,115.3567737,0,0,115.3567737
776192,115.2471177,0,115.2471178,0,0,115.2471178
778240,114.986109,0,114.986109,0,0,114.986109
780288,113.4009104,0,113.4009104,0,0,113.4009104
782336,113.5536363,0,113.5536363,0,0,113.5536363
784384,117.2221923,0,117.2221922,0,0,117.2221922
786432,113.8401162,0,113.8401162,0,0,113.8401162
788480,117.6980204,0,117.6980203,0,0,117.6980203
790528,115.935661,0,115.935661,0,0,115.935661
792576,116.1146212,0,116.1146212,0,0,116.1146212
794624,114.9463965,0,114.9463965,0,0,114.9463965
796672,110.4343083,0,110.4343084,0,0,110.4343084
798720,112.28262,0,112.2826201,0,0,112.2826201
800768,115.9208552,0,115.9208552,0,0,115.9208552
802816,112.4482425,0,112.4482424,0,0,112.4482424
804864,115.6020304,0,115.6020303,0,0,115.6020303
806912,114.2997347,0,114.2997349,0,0,114.2997349
808960,115.1641309,0,115.1641309,0,0,115.1641309
811008,117.178428,0,117.1784281,0,0,117.1784281
813056,117.926921,0,117.926921,0,0,117.926921
815104,113.7625731,0,113.7625731,0,0,113.7625731
817152,118.0119791,0,118.0119792,0,0,118.0119792
819200,115.1389928,0,115.1389928,0,0,115.1389928
821248,117.3368082,0,117.3368081,0,0,117.3368081
823296,116.0380536,0,116.0380536,0,0,116.0380536
825344,114.0686614,0,114.0686614,0,0,114.0686614
827392,115.5739128,0,115.5739129,0,0,115.5739129
829440,115.2798572,0,115.2798573,0,0,115.2798573
831488,117.8759178,0,117.8759178,0,0,117.8759178
833536,114.3093317,0,114.3093316,0,0,114.3093316
835584,114.6006985,0,114.6006984,0,0,114.6006984
837632,114.7640007,0,114.7640008,0,0,114.7640008
839680,113.3566605,0,113.3566604,0,0,113.3566604
841728,114.30378,0,114.3037799,0,0,114.3037799
843776,115.3390692,0,115.3390692,0,0,115.3390692
845824,114.9599976,0,114.9599974,0,0,114.9599974
847872,114.2283178,0,114.2283178,0,0,114.2283178
849920,114.5939279,0,114.5939279,0,0,114.5939279
851968,117.8825276,0,117.8825277,0,0,117.8825277
854016,116.0922833,0,116.0922834,0,0,116.0922834
856064,116.0254499,0,116.0254499,0,0,116.0254499
858112,115.3511045,0,115.3511045,0,0,115.3511045
860160,117.392836,0,117.3928359,0,0,117.3928359
862208,119.06375,0,119.0637499,0,0,119.0637499
864256,115.2899209,0,115.2899209,0,0,115.2899209
866304,115.8269318,0,115.8269319,0,0,115.8269319
868352,114.8617726,0,114.8617725,0,0,114.8617725
870400,115.0167424,0,115.0167424,0,0,115.0167424
872448,118.0392324,0,118.0392325,0,0,118.0392325
874496,115.7611318,0,115.7611319,0,0,115.7611319
876544,114.2670227,0,114.2670227,0,0,114.2670227
878592,116.9854047,0,116.9854047,0,0,116.9854047
880640,115.1777256,0,115.1777255,0,0,115.1777255
882688,117.1655242,0,117.1655242,0,0,117.1655242
884736,114.0923289,0,114.092329,0,0,114.092329
886784,114.7628539,0,114.762854,0,0,114.762854
888832,113.1155785,0,113.1155785,0,0,113.1155785
890880,115.6035016,0,115.6035016,0,0,115.6035016
892928,113.3912092,0,113.3912094,0,0,113.3912094
894976,113.8069839,0,113.8069838,0,0,113.8069838
897024,118.5482793,0,118.5482794,0,0,118.5482794
899072,115.5326096,0,115.5326096,0,0,115.5326096
901120,115.7966304,0,115.7966304,0,0,115.7966304
903168,114.6976318,0,114.6976318,0,0,114.6976318
905216,112.9190266,0,112.9190266,0,0,112.9190266
907264,114.3087968,0,114.3087969,0,0,114.3087969
909312,115.2638682,0,115.2638683,0,0,115.2638683
911360,116.5242888,0,116.5242888,0,0,116.5242888
913408,110.4081444,0,110.4081444,0,0,110.4081444
915456,113.697887,0,113.6978872,0,0,113.6978872
917504,115.8801872,0,115.8801872,0,0,115.8801872
919552,115.7680746,0,115.7680747,0,0,115.7680747
921600,113.2325443,0,113.2325442,0,0,113.2325442
923648,114.6485802,0,114.64858,0,0,114.64858
925696,115.6951917,0,115.6951918,0,0,115.6951918
927744,115.4265649,0,115.4265648,0,0,115.4265648
929792,115.2669834,0,115.2669834,0,0,115.2669834
931840,116.928163,0,116.9281631,0,0,116.9281631
933888,119.604082,0,119.604082,0,0,119.604082
935936,111.6733283,0,111.6733282,0,0,111.6733282
937984,113.8282001,0,113.8282,0,0,113.8282
940032,115.2547227,0,115.2547228,0,0,115.2547228
942080,113.5953497,0,113.5953497,0,0,113.5953497
944128,112.183593,0,112.183593,0,0,112.183593
946176,115.8127673,0,115.8127673,0,0,115.8127673
948224,118.7452544,0,118.7452544,0,0,118.7452544
950272,116.2093043,0,116.2093043,0,0,116.2093043
952320,113.796341,0,113.796341,0,0,113.796341
954368,113.7678047,0,113.7678045,0,0,113.7678045
956416,115.602562,0,115.602562,0,0,115.602562
958464,117.8835217,0,117.8835219,0,0,117.8835219
960512,114.71158,0,114.7115801,0,0,114.7115801
962560,113.3282036,0,113.3282039,0,0,113.3282039
964608,113.0097198,0,113.0097199,0,0,113.0097199
966656,115.7205711,0,115.7205711,0,0,115.7205711
968704,117.8627604,0,117.8627605,0,0,117.8627605
970752,115.2383937,0,115.2383937,0,0,115.2383937
972800,113.7773379,0,113.7773379,0,0,113.7773379
974848,116.8455197,0,116.8455196,0,0,116.8455196
976896,113.208378,0,113.208378,0,0,113.208378
978944,116.276629,0,116.276629,0,0,116.276629
980992,115.6271146,0,115.6271145,0,0,115.6271145
983040,111.9613018,0,111.961302,0,0,111.961302
985088,113.9481146,0,113.9481147,0,0,113.9481147
987136,114.6248565,0,114.6248567,0,0,114.6248567
989184,114.8903862,0,114.8903862,0,0,114.8903862
991232,117.2057438,0,117.2057439,0,0,117.2057439
993280,115.5128206,0,115.5128205,0,0,115.5128205
995328,116.5544195,0,116.5544195,0,0,116.5544195
997376,114.7233214,0,114.7233214,0,0,114.7233214
999424,114.6094252,0,114.6094251,0,0,114.6094251
